Time (Seconds),,X1,Y1,Z1,X2,Y2,Z2
49.59,46.91,3.993581,2.048915,0.76537,3.994548,2.03586,0.760093
49.6,46.92,3.99273,2.037498,0.7669,3.993222,2.024634,0.76315
49.61,46.93,3.991433,2.024844,0.769202,3.992029,2.011559,0.765641
49.62,46.94,3.990345,2.01058,0.771624,3.990607,1.997085,0.768647
49.63,46.95,3.989836,1.982303,0.771197,3.990599,1.995689,0.774502
49.64,46.96,3.98983,1.96739,0.772747,3.991861,1.980705,0.775233
49.65,46.97,3.988511,1.952007,0.772879,3.991304,1.965369,0.775019
49.66,46.98,3.987004,1.935949,0.772515,3.989876,1.949455,0.77415
49.67,46.99,3.986943,1.918877,0.772837,3.990198,1.932272,0.774092
49.68,47,3.987265,1.90023,0.774032,3.990031,1.913784,0.775163
49.69,47.01,3.986846,1.880751,0.775339,3.990246,1.894201,0.776253
49.7,47.02,3.985569,1.860241,0.77665,3.988945,1.87364,0.777888
49.71,47.03,3.983097,1.839742,0.778629,3.985857,1.853196,0.77971
49.72,47.04,3.980472,1.819094,0.781612,3.983646,1.832442,0.782057
49.73,47.05,3.978924,1.795604,0.785538,3.981885,1.809065,0.78538
49.74,47.06,3.977856,1.770875,0.789058,3.981179,1.784141,0.78868
49.75,47.07,3.977266,1.744109,0.792213,3.980736,1.758152,0.791325
49.76,47.08,3.976318,1.717725,0.795117,3.978235,1.731595,0.792895
49.77,47.09,3.973202,1.692148,0.797737,3.977264,1.705326,0.795142
49.78,47.1,3.968583,1.66699,0.800707,3.973316,1.679687,0.797463
49.79,47.11,3.960793,1.640866,0.805128,3.965199,1.653605,0.801358
49.8,47.12,3.953657,1.613569,0.809615,3.956976,1.626523,0.805959
49.81,47.13,3.947362,1.584603,0.814858,3.951088,1.597643,0.810126
49.82,47.14,3.939708,1.554787,0.820836,3.943627,1.567719,0.816783
49.83,47.15,3.930249,1.52535,0.826201,3.934924,1.538031,0.822423
49.84,47.16,3.918554,1.497489,0.832187,3.924816,1.509135,0.826546
49.85,47.17,3.905074,1.470875,0.838745,3.913106,1.481151,0.833219
49.86,47.18,3.892349,1.441795,0.846538,3.89918,1.452733,0.840752
49.87,47.19,3.879481,1.412002,0.855017,3.885933,1.422622,0.849075
49.88,47.2,3.86681,1.379721,0.864809,3.872998,1.390961,0.85896
49.89,47.21,3.853971,1.347427,0.875698,3.859917,1.358892,0.870021
49.9,47.22,3.839614,1.316136,0.886247,3.846005,1.327323,0.881006
49.91,47.23,3.822582,1.285689,0.896734,3.829432,1.296526,0.891425
49.92,47.24,3.804317,1.256165,0.907263,3.811292,1.266968,0.902136
49.93,47.25,3.784733,1.228339,0.919262,3.791914,1.238258,0.91329
49.94,47.26,3.764531,1.203814,0.93172,3.771967,1.209386,0.926582
49.95,47.27,3.743309,1.168944,0.947905,3.750859,1.179088,0.941629
49.96,47.28,3.721774,1.139611,0.962908,3.729795,1.148985,0.956378
49.97,47.29,3.698786,1.111915,0.97737,3.708186,1.11991,0.971455
49.98,47.3,3.674517,1.084716,0.992119,3.684199,1.092166,0.986384
49.99,47.31,3.649239,1.059423,1.007479,3.659815,1.065741,1.001154
50,47.32,3.622651,1.035212,1.023132,3.633399,1.041007,1.016783
50.01,47.33,3.594829,1.008406,1.040643,3.605182,1.015781,1.033973
50.02,47.34,3.567877,0.982404,1.058406,3.577511,0.989572,1.051764
50.03,47.35,3.539696,0.957215,1.076455,3.550169,0.963862,1.069623
50.04,47.36,3.510347,0.93297,1.093987,3.520941,0.939372,1.087773
50.05,47.37,3.480462,0.910345,1.111606,3.491367,0.916813,1.105139
50.06,47.38,3.449789,0.890542,1.129228,3.460791,0.895953,1.122186
50.07,47.39,3.417504,0.871865,1.147741,3.427807,0.876942,1.141053
50.08,47.4,3.384053,0.852549,1.167268,3.394515,0.858533,1.160461
50.09,47.41,3.351093,0.831677,1.187453,3.361214,0.838015,1.180302
50.1,47.42,3.317703,0.811179,1.207644,3.328237,0.818054,1.201085
50.11,47.43,3.283596,0.79126,1.227082,3.293684,0.797931,1.22038
50.12,47.44,3.248945,0.774077,1.246299,3.259309,0.780899,1.239599
50.13,47.45,3.213504,0.7599,1.26537,3.224252,0.766154,1.258424
50.14,47.46,3.178259,0.748241,1.285263,3.189264,0.753655,1.277762
50.15,47.47,3.143217,0.737803,1.305184,3.153928,0.740761,1.298006
50.16,47.48,3.106043,0.723288,1.326622,3.117434,0.727683,1.319361
50.17,47.49,3.068422,0.707772,1.347753,3.07914,0.71304,1.340575
50.18,47.5,3.030914,0.693069,1.368078,3.042246,0.698608,1.361493
50.19,47.51,2.993357,0.679996,1.388374,3.004617,0.685174,1.381405
50.2,47.52,2.956547,0.669484,1.409055,2.967753,0.674074,1.4015
50.21,47.53,2.919998,0.661158,1.429917,2.931354,0.664973,1.421893
50.22,47.54,2.883444,0.655511,1.451437,2.894357,0.657786,1.44293
50.23,47.55,2.846016,0.650839,1.473683,2.857117,0.653348,1.465392
50.24,47.56,2.807838,0.644764,1.496428,2.818885,0.648245,1.488423
50.25,47.57,2.770101,0.637559,1.51967,2.781155,0.641027,1.511328
50.26,47.58,2.73143,0.629671,1.542186,2.742779,0.633422,1.534309
50.27,47.59,2.692474,0.62252,1.56387,2.704142,0.625851,1.556419
50.28,47.6,2.65432,0.616543,1.586375,2.665912,0.620018,1.578572
50.29,47.61,2.618237,0.613027,1.609387,2.6295,0.61642,1.601242
50.3,47.62,2.582138,0.61098,1.632906,2.593795,0.614523,1.624763
50.31,47.63,2.546927,0.611771,1.658036,2.557775,0.614663,1.648965
50.32,47.64,2.511572,0.61368,1.68317,2.522859,0.616448,1.673808
50.33,47.65,2.476125,0.615463,1.708143,2.486505,0.616613,1.69829
50.34,47.66,2.439224,0.614342,1.73397,2.449369,0.616117,1.724186
50.35,47.67,2.401804,0.612597,1.759281,2.412612,0.614879,1.750224
50.36,47.68,2.364966,0.611387,1.784145,2.376088,0.613565,1.775098
50.37,47.69,2.329256,0.611075,1.809507,2.340132,0.61354,1.80028
50.38,47.7,2.295548,0.612891,1.835703,2.30611,0.615185,1.82631
50.39,47.71,2.263034,0.616729,1.862524,2.273712,0.618426,1.852982
50.4,47.72,2.231577,0.622245,1.890534,2.242125,0.623662,1.880515
50.41,47.73,2.200908,0.628555,1.918764,2.210842,0.629758,1.908453
50.42,47.74,2.169148,0.633639,1.947286,2.178729,0.63443,1.936739
50.43,47.75,2.137252,0.637344,1.976042,2.147028,0.63804,1.965428
50.44,47.76,2.105122,0.640729,2.004295,2.114646,0.64058,1.993382
50.45,47.77,2.072813,0.643545,2.032946,2.082283,0.643827,2.021835
50.46,47.78,2.041694,0.647629,2.06156,2.051275,0.648456,2.050973
50.47,47.79,2.012962,0.653337,2.090872,2.022479,0.654227,2.080038
50.48,47.8,1.98619,0.660496,2.120787,1.995499,0.661288,2.109512
50.49,47.81,1.960525,0.669133,2.151848,1.969614,0.669733,2.140306
