Mic_1,Mic_2,Mic_3,Mic_4,Mic_5,Mic_6,Mic_7,Mic_8,Mic_9,Mic_10,Mic_11,Mic_12,Mic_13,Mic_14,Mic_15,Mic_16,Mic_17,Mic_18,Mic_19,Mic_20,Mic_21,Mic_22,Mic_23,Mic_24,Mic_25
2.840211494856268,3.8472773375818483,4.8704753201271105,5.903165956876723,5.820495319482653,5.919662588044278,6.012930341380173,6.346468484234289,6.801057152370834,5.930257141033909,5.119656172730497,4.396637942945482,3.854232699248902,3.551235164574557,3.540471646890973,3.721246918911197,2.7259198628048624,2.035846321425387,1.549597801026215,1.3960644244875955,1.5696223402913456,1.1020232687910363,1.1393738612128503,1.9014848347468039,2.9136081379406664
2.814860599948239,3.8158984151617767,4.835734698872692,5.866236822981933,5.773869298758221,5.864544309126189,5.954921185196825,6.2829773508930264,6.734062435329077,5.861522712205674,5.049513370679709,4.32630561124056,3.786660535429755,3.491579651059125,3.49468290049483,3.687091716580828,2.7034259488547785,2.025125004057517,1.5665970716588742,1.4461931107862325,1.6367159500690889,1.1666060758006367,1.1608907276912674,1.8889345808037294,2.8487457715951696
2.763194227067017,3.7355554780699873,4.739249574178901,5.759246750975121,5.626445457818346,5.680104939680648,5.757400867799036,6.059610523430701,6.492913994042667,5.611042870186637,4.789889831089363,4.060712665395114,3.5256325935570616,3.255307806120259,3.307734522053227,3.5428191779637146,2.6066746939056067,1.978950188761983,1.6316525555568162,1.6328329396433947,1.8894606765873931,1.4238654882868291,1.301348550510312,1.8961589037188025,2.629518449949551
2.764254019772756,3.7057087188019837,4.6916339448880535,5.70003367207353,5.529452943394675,5.546849556930929,5.61086960446215,5.8859294027104365,6.299517995976696,5.407014118220762,4.57423864834777,3.834632737258737,3.2975199675562297,3.04405279743467,3.1370281031636673,3.4080061517111493,2.517977915516385,1.9413696229477369,1.694973050538161,1.7928791425987531,2.1023665243574055,1.647829721521687,1.467510491485509,1.956304335002364,2.457947000366656
2.769875652752455,3.7001958793166665,4.67962534100627,5.683778613299804,5.5005571843575485,5.50560221543724,5.5650531098414,5.830694482194264,6.237369010828143,5.341139047615447,4.504195303023908,3.760701633496632,3.2224876699248735,2.97472604706545,3.0815440263419953,3.364463817279425,2.4911584446540607,1.932948583116074,1.7199241465141537,1.8471374974323487,2.1715280889903403,1.7202005930179307,1.5256308833374606,1.982127237127738,2.3970886149630846
2.804597023012105,3.7047533309534604,4.666205730144607,5.658504331544138,5.442805708973246,5.415301807334414,5.462471165531051,5.702319112252151,6.089574745698518,5.183057406293506,4.334110223981684,3.5783340082715247,3.0342406578344705,2.7982662910917466,2.9391089992040036,3.2519247671523335,2.423150264210034,1.9148486334217534,1.7865660408554616,1.9835381710950155,2.3450441414433887,1.9047354833564583,1.6850567942991597,2.0688591062686608,2.267562633867378
2.8745605596175907,3.7202716159273903,4.648406786685627,5.618588991696047,5.3505266704028305,5.26967701394706,5.296524844376168,5.493508879687189,5.84855184378398,4.926054048805697,4.058258492480487,3.2833369594286235,2.732351355893308,2.523914118637756,2.7317819468257345,3.098174327093135,2.355275234850271,1.9387814145537396,1.9404950149946278,2.228302410559662,2.633989156756155,2.205588741091367,1.948903116101465,2.2261784689977127,2.068734276887923
2.88618036515697,3.7177156466106203,4.637141863878722,5.6015689994386415,5.32130925393603,5.2281560760060355,5.250369734775583,5.437760026927156,5.785888276697366,4.860267774802683,3.9889564738143255,3.2110606872208782,2.661281549537895,2.464105487253786,2.692812270885629,3.073892234262193,2.354522353788177,1.9612178656935126,1.9903499282695543,2.2940647164512646,2.706082227604109,2.2778999989127753,2.009032286774113,2.2600615702832574,2.0221244807878223
2.8910844253363654,3.7145687840872594,4.629062071784251,5.590241008463634,5.30330092542885,5.203458478831027,5.223169853020625,5.405433168727784,5.749952114745175,4.822760436523414,3.949733247036627,3.1705722871178157,2.6221643538272916,2.4322921567713656,2.673563899452096,3.0631616020862333,2.3571927009605083,1.9767045352033514,2.0201473691078826,2.3316017217062397,2.7464778166911343,2.3179302982247982,2.0414655342396797,2.2776293051843406,1.9980417205032281
2.9035559714845878,3.71806734695355,4.626896176227732,5.58428111863923,5.289551725218821,5.181624067393698,5.198218925939192,5.373873869514059,5.7134485367452825,4.783979932701621,3.9082260974161676,3.126320479300804,2.5774876904054866,2.3936228270481985,2.6473027271411573,3.0457391793629034,2.3546674952597044,1.9888678124227885,2.0492792307386054,2.370867142783123,2.790514938009723,2.363026764959299,2.0813686701007126,2.3034314508583518,1.9743069125109727
2.927356682815379,3.726473712409154,4.6254778013836,5.576240632393608,5.268131660045889,5.146179522095927,5.157316199650595,5.321292050015171,5.652046325272137,4.718527529530591,3.837800561501478,3.050583121691599,2.5003373014774346,2.3263295887211815,2.6016696359830274,3.0156173138997024,2.3500996113007755,2.009595687460156,2.098644514434224,2.437000091137146,2.865557069177206,2.4403786866688253,2.150279053992542,2.349757774858818,1.9499705044043258
2.9340069144172305,3.7230300357387014,4.615739658467461,5.56233988394948,5.246317824091399,5.116368580595569,5.124499921731282,5.282319697212647,5.608782090377386,4.67348982285047,3.790836191568071,3.002333517225013,2.45443247408274,2.2908454252824044,2.5827134942280607,3.007063451067656,2.358497644700736,2.0331347394678296,2.1371442802515044,2.4828671109163136,2.913786997211725,2.487745359625322,2.188923851395274,2.3716070560030222,1.923164571501388
2.9493658933808127,3.7074090275503724,4.580775028492012,5.514628918619366,5.175506619849017,5.022337743841906,5.021806381677115,5.16211350082764,5.476757894848192,4.536857333175686,3.649472466429497,2.8589417845498355,2.3216317736585617,2.194672889567373,2.5394019844644524,2.995051504473671,2.397598897074738,2.115354065549784,2.258620583441584,2.621976102496932,3.0572311167155815,2.626999166952666,2.3006072607316095,2.4331025198478593,1.8465928014291615
2.950839721857026,3.691431643130108,4.553999292295867,5.48082514218929,5.129761310528029,4.964854148073361,4.960055164198302,5.0920712214845585,5.401623652245893,4.46002145514461,3.5713197331985334,2.781945361674497,2.254416023024643,2.1526612075629203,2.5287328993134586,3.0012970147484985,2.431456203518428,2.1703607650458134,2.330424492512094,2.6997702615747237,3.134543803657759,2.7002055507805793,2.356642000334215,2.4605684691963465,1.7998197847090827
2.951180053336991,3.6457588148337687,4.479748595435187,5.3880677620369,5.007410636955124,4.8135538940880185,4.798332760958031,4.910536928046537,5.208705640330382,4.263789530637333,3.3733670753182383,2.5902626084418405,2.0950118501127695,2.066857912472101,2.524747586006199,3.038383910731317,2.5362768858108002,2.3232115826295567,2.517819325117299,2.897281810320586,3.328229229326149,2.882358867480927,2.4952094620068133,2.527998710810931,1.6935325118791573
2.9406007275037256,3.618050972465955,4.441673971438724,5.343470255193272,4.953259030943895,4.75057944602972,4.732406872294608,4.839681750620638,5.136065451954351,4.191230356465967,3.302267617858619,2.5253089043198735,2.0482883457908065,2.053119376227364,2.541298174500001,3.0684211890552833,2.5883573319409043,2.3884831566733387,2.5900551887373053,2.969167950657699,3.395301398539847,2.9431159649996532,2.537581039013974,2.5427526551831665,1.645164407677798
2.910334593540598,3.510546211313208,4.286626705177758,5.1585180162244,4.727159850328114,4.4860001996991175,4.454903261500895,4.540796891356639,4.830046004611087,3.8861352362247916,3.004918761044251,2.2594113960658246,1.8738028530017026,2.0275088340705993,2.6363352746927924,3.214311139112317,2.8205395709175787,2.669164585253281,2.8947621283204463,3.271185106149348,3.6784619867124793,3.2022848332622007,2.72614257868537,2.6213138234395212,1.480230989806361
2.867336059808956,3.385004652826455,4.110306756319381,4.9510825424733875,4.4820656385143165,4.207158038639236,4.165625402923641,4.237662210557461,4.528497500743127,3.590726576598495,2.727166718271684,2.0357970829792316,1.7793795969940616,2.091186625450907,2.799511343096997,3.4151572473865315,3.087232725769269,2.965441743678798,3.198371626377828,3.5627550588861356,3.945283584459646,3.4438007587479205,2.899619538583424,2.6894037494676684,1.3462426140071295
2.8368650084747173,3.2952865869486465,3.983887843704195,4.802615705384125,4.309428019578777,4.013603099002722,3.9661356475628087,4.032527219141795,4.328969848976944,3.398362181129442,2.5530345710017044,1.9132113693230184,1.762476786828428,2.17525628095387,2.9371017779174187,3.571971531344736,3.2785260888972743,3.169231874236162,3.4014315010581146,3.7547463089877673,4.118821222436519,3.6005168363072353,3.0129295293796465,2.7348628284730228,1.2814146517581493
