X,Z
2.564854,3.924659
3.476219,2.410737
3.700133,1.968028
4.101963,1.027959
0.635359,5.586911
1.433354,1.686142
3.058229,0.430904
0.941899,4.017766
1.438113,0.633862
2.516454,2.203719
4.25451,5.564797
3.706393,3.762607
3.23556,5.062369
1.746291,4.961808
2.337281,6.289096
