,X,Y,Z
1,0.124936,1.229244,3.161173
2,0.088335,1.231068,2.108621
3,0.051206,1.234378,1.060723
4,0.013883,1.235498,0.01082
5,1.017837,1.224723,-0.022833
6,2.047235,1.21388,-0.059256
7,2.467854,1.208228,-0.077022
8,3.482538,1.187741,-0.115724
9,4.48023,1.167534,-0.155249
10,4.515281,1.173705,0.894767
11,4.553077,1.172341,1.943477
12,4.589792,1.159918,3.021695
13,4.625807,1.152689,4.070825
14,4.663198,1.130793,5.108783
15,4.694449,1.149407,6.173187
16,4.719883,1.18808,6.900632
17,3.6103,1.161597,7.006336
18,2.783169,1.184621,7.006135
19,1.91475,1.211314,7.035103
20,1.061938,1.20478,7.074792
21,0.256819,1.29143,7.03654
22,0.233948,1.308997,6.317519
23,0.191912,1.245281,5.246408
24,0.158621,1.25075,4.19848
25,2.382763,2.283699,3.432863
