Time (Seconds),,X1,Y1,Z1,X2,Y2,Z2
72.51,69.81,2.382273,1.454112,7.024007,2.397034,1.456413,7.025734
72.52,69.82,2.352746,1.449811,7.02196,2.370243,1.452896,7.0312
72.53,69.83,2.323543,1.446495,7.01858,2.343013,1.447868,7.032256
72.54,69.84,2.294027,1.442281,7.014599,2.314669,1.441786,7.02972
72.55,69.85,2.26375,1.436015,7.010491,2.284534,1.435107,7.024413
72.56,69.86,2.233027,1.427941,7.006589,2.251935,1.428287,7.017151
72.57,69.87,2.202825,1.419405,7.00324,2.216196,1.421784,7.008754
72.58,69.88,2.171965,1.409805,6.999505,2.178662,1.415591,7.000063
72.59,69.89,2.142139,1.400413,6.995751,2.150627,1.408493,6.995522
72.6,69.9,2.11179,1.391927,6.990897,2.130004,1.399896,6.994164
72.61,69.91,2.115119,1.391296,6.990696,2.099414,1.390263,6.988314
72.62,69.92,2.055476,1.380458,6.975396,2.058048,1.380268,6.977659
72.63,69.93,2.028941,1.378475,6.967603,2.022766,1.372671,6.966732
72.64,69.94,1.993081,1.364804,6.957177,2.008518,1.369022,6.96227
72.65,69.95,1.975011,1.358325,6.953609,1.992985,1.363668,6.956923
72.66,69.96,1.931887,1.343153,6.937598,1.944036,1.346974,6.944012
72.67,69.97,1.901685,1.330939,6.92816,1.913584,1.335165,6.934749
72.68,69.98,1.871179,1.318709,6.91828,1.882936,1.323192,6.924955
72.69,69.99,1.841329,1.307667,6.907697,1.852796,1.311974,6.914608
72.7,70,1.811674,1.297723,6.895965,1.823696,1.30182,6.903237
72.71,70.01,1.782249,1.289247,6.882813,1.794217,1.29293,6.890057
72.72,70.02,1.752691,1.281693,6.868042,1.764577,1.285062,6.875785
72.73,70.03,1.722752,1.273359,6.852703,1.73445,1.276605,6.860162
72.74,70.04,1.692386,1.263042,6.83726,1.703977,1.266581,6.844745
72.75,70.05,1.661494,1.250962,6.822142,1.673114,1.254905,6.829397
72.76,70.06,1.631181,1.238158,6.806928,1.642465,1.242182,6.814571
72.77,70.07,1.601927,1.225615,6.791168,1.612512,1.229243,6.799798
72.78,70.08,1.572609,1.213481,6.774231,1.583141,1.216753,6.783534
72.79,70.09,1.543941,1.202802,6.756297,1.554335,1.206001,6.765747
72.8,70.1,1.515384,1.193915,6.736964,1.525835,1.197146,6.746446
72.81,70.11,1.487396,1.186525,6.716154,1.497791,1.189234,6.725723
72.82,70.12,1.459117,1.177887,6.694643,1.469317,1.180327,6.704066
72.83,70.13,1.429164,1.166989,6.672503,1.439664,1.17021,6.681646
72.84,70.14,1.399592,1.154403,6.650968,1.409875,1.158532,6.65972
72.85,70.15,1.370888,1.141459,6.62968,1.3809,1.145914,6.638843
72.86,70.16,1.343539,1.130079,6.60782,1.352281,1.133981,6.617908
72.87,70.17,1.316874,1.120045,6.584713,1.325188,1.123312,6.595884
72.88,70.18,1.289924,1.111304,6.560712,1.298632,1.114142,6.571639
72.89,70.19,1.26385,1.103751,6.535218,1.272475,1.106439,6.546142
72.9,70.2,1.237389,1.096924,6.507946,1.246292,1.099228,6.519074
72.91,70.21,1.211274,1.088217,6.48007,1.219819,1.090956,6.490851
72.92,70.22,1.18433,1.077342,6.451643,1.193055,1.08072,6.462176
72.93,70.23,1.157504,1.064588,6.423893,1.166168,1.068564,6.434121
72.94,70.24,1.131594,1.052418,6.396278,1.139667,1.056253,6.406731
72.95,70.25,1.106457,1.041764,6.368402,1.113766,1.044608,6.379703
72.96,70.26,1.082129,1.032721,6.339952,1.08881,1.03444,6.352119
72.97,70.27,1.058006,1.023862,6.309707,1.0647,1.025748,6.322286
72.98,70.28,1.034765,1.016624,6.278375,1.041233,1.018407,6.290964
72.99,70.29,1.011884,1.010259,6.245584,1.018275,1.012261,6.25751
73,70.3,0.989,1.003074,6.21152,0.995701,1.005168,6.223599
73.01,70.31,0.966698,0.99393,6.17766,0.97371,0.996843,6.189488
73.02,70.32,0.943623,0.983125,6.143299,0.951298,0.98711,6.155216
73.03,70.33,0.920375,0.97119,6.109852,0.927567,0.975448,6.121871
73.04,70.34,0.89788,0.959694,6.076188,0.904512,0.963783,6.088683
73.05,70.35,0.877328,0.950364,6.042753,0.882431,0.95339,6.055571
73.06,70.36,0.856918,0.941767,6.00868,0.862059,0.9443,6.021847
73.07,70.37,0.837936,0.934859,5.973281,0.841735,0.93612,5.986594
73.08,70.38,0.81932,0.928475,5.936314,0.824456,0.930744,5.949542
73.09,70.39,0.802026,0.922644,5.897902,0.807268,0.925363,5.911007
73.1,70.4,0.784863,0.915712,5.859124,0.789999,0.91823,5.872319
73.11,70.41,0.766979,0.906722,5.820181,0.773279,0.910458,5.833095
73.12,70.42,0.750257,0.89769,5.78178,0.754465,0.900639,5.794645
73.13,70.43,0.731526,0.887211,5.74354,0.736583,0.890216,5.756603
73.14,70.44,0.715205,0.878146,5.70497,0.719854,0.880678,5.718544
73.15,70.45,0.700463,0.871192,5.666945,0.704357,0.873207,5.680402
73.16,70.46,0.687424,0.86684,5.628626,0.690256,0.867262,5.642495
73.17,70.47,0.675935,0.863994,5.589398,0.677848,0.863017,5.6033
73.18,70.48,0.665176,0.861014,5.548486,0.666755,0.859601,5.562454
73.19,70.49,0.6541,0.856181,5.506199,0.656002,0.855589,5.520079
73.2,70.5,0.642969,0.8501,5.463825,0.645061,0.850248,5.47747
73.21,70.51,0.631282,0.842183,5.421188,0.633723,0.843708,5.434988
73.22,70.52,0.62004,0.834101,5.379689,0.622345,0.83586,5.393243
73.23,70.53,0.609416,0.825954,5.337976,0.611685,0.827725,5.351902
73.24,70.54,0.599388,0.819283,5.296846,0.602176,0.821425,5.310895
73.25,70.55,0.591734,0.815579,5.256233,0.593533,0.816358,5.270381
73.26,70.56,0.5854,0.813473,5.215601,0.586161,0.812971,5.229712
73.27,70.57,0.580202,0.812065,5.173145,0.580945,0.811815,5.187247
73.28,70.58,0.575619,0.810987,5.130544,0.576359,0.810359,5.144445
73.29,70.59,0.570784,0.808276,5.086776,0.571662,0.807815,5.100987
73.3,70.6,0.566166,0.803868,5.04251,0.566834,0.804617,5.056716
73.31,70.61,0.561388,0.798425,4.999258,0.561626,0.799721,5.013252
73.32,70.62,0.557466,0.793477,4.957047,0.556633,0.793672,4.970956
73.33,70.63,0.553547,0.788386,4.914675,0.552269,0.788042,4.928713
73.34,70.64,0.550541,0.784625,4.871834,0.549187,0.784315,4.885847
73.35,70.65,0.548386,0.78247,4.829626,0.547188,0.781877,4.843632
73.36,70.66,0.547674,0.782166,4.787026,0.546687,0.781418,4.801122
73.37,70.67,0.54811,0.783377,4.743884,0.547415,0.782705,4.757852
73.38,70.68,0.549575,0.784652,4.700221,0.54865,0.78365,4.714384
73.39,70.69,0.550889,0.783821,4.656578,0.549811,0.783097,4.670471
73.4,70.7,0.552013,0.78128,4.61192,0.551212,0.781223,4.626171
