0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
-61.21843483209926,-63.91506521616064,-84.71079022645378,-79.75613595641236,-76.27629994855081,-74.84224213561976,,,-97.5943125913628,-102.96574740248029,-99.52349345793272,-91.11418969423372,-86.63270731283806,-77.77198615740842,-83.5552091591391,-70.31385240579583,-65.43685033215695,-58.16298524193678,-80.34080671140664,-68.64785255072344,-65.4703684034746,-42.936031434682626,-57.02191129809603,-50.66199428163649,-54.30909607569788,-55.666195847543236,-70.49153428063147,-81.31666142144991,-96.94939995119046,-106.97450504573348,-128.2045743125391,-122.7888657620912,-130.53700039871924,-125.08731175438487,-123.71432564283802
-56.00502168013609,-58.31305398893859,-77.59539601933491,-71.39007546697576,-67.5205376014469,-65.18801512618401,,,-86.14970646870593,-91.35261275842026,-87.65036866137548,-79.05571643423518,-73.99905770124785,-64.81162714582443,-69.74868190689173,-56.1823266610035,-49.94869245938311,-41.31208566499207,-62.55403513499539,-50.36837859311664,-46.38018642484605,-23.224028092381023,-36.267778565289504,-29.201428388928317,-31.49788135919288,-32.246222995418734,-45.97012198243648,-56.48801234848966,-71.73132953870704,-81.72648234487342,-103.77501095170359,-99.48047134920205,-107.85365841926145,-103.72301173309904,-103.18930249587657
-52.98757454483466,-55.07641796148655,-73.48090769116517,-66.50134263439563,-62.37992071165866,-59.43345901305102,,,-79.07333224257324,-84.1397169834438,-80.21227479112044,-71.46757459037235,-65.94783763024772,-56.498726215971836,-60.75089750812339,-46.9256987550458,-39.55252216768174,-29.698111928315043,-50.0573517309381,-37.400399297843755,-32.58129265537509,-8.827693926163196,-20.84842330695444,-13.099401564690128,-14.005627668996553,-14.04791725646372,-26.29820061645844,-36.252527195660726,-50.231857104998575,-59.374793185498554,-80.04823192950097,-75.39363179889926,-83.70028122534491,-79.73396841167887,-79.43358129426457
-50.96426081920556,-52.914025002725324,-70.75576350874752,-63.2667008153621,-58.97680564079177,-55.610161564204276,,,-74.3217438539421,-79.28896708237151,-75.19348442551653,-66.34025847956461,-60.48794230372459,-50.85249082505744,-54.618829120162275,-40.613364902848794,-32.43752950731586,-21.723439169427685,-41.46032117391885,-28.47529849018615,-23.069068674573824,1.0828218465898607,-10.268727810117431,-2.093036418838994,-2.137198298285047,-1.7322231496364777,-13.024246884280966,-22.578500018187217,-35.54682649664272,-43.902862521378,-62.78451475607328,-57.008697099476215,-64.7742248220999,-59.88742256024273,-59.07878486388317
-41.17131378128923,-43.05831765399253,-60.71783097793276,-53.14993927143551,-48.84394620405525,-45.46880085562197,,,-64.1688739625432,-69.13987089142572,-65.06298589190526,-56.207349991734944,-50.32977251522634,-40.66916047573623,-44.3478129255501,-30.294415221584043,-21.903581409006126,-10.914799729287095,-30.421656850879632,-17.296741745254643,-11.644569761757733,12.73320836811031,1.7986881942329558,10.28525204971698,10.889874039391929,11.619407647202076,1.0015868721119616,-8.312504586591526,-20.785701124109572,-28.82917019185078,-47.335663717389906,-41.666961120465835,-49.56145760685428,-45.1578716873334,-44.777012775833164
-31.184708444535456,-32.97612408875509,-50.30739406135183,-42.51199220330539,-38.13828275235987,-34.61973109651709,,,-52.99511933308553,-57.93477985735797,-53.81547242875483,-44.91884245541999,-38.89715115989275,-29.14420262700532,-32.55646681409939,-18.38791347021901,-9.468949261147394,2.1535558831414936,-16.847273130730542,-3.4319905077841897,2.746962062508489,27.54400751100202,17.3605368089932,26.372910436121582,28.070806657128134,29.364195513326173,19.953811048922578,11.120693875564504,-0.18555268332197875,-7.330716038637756,-23.81732988942885,-16.892565805502795,-24.153073648924934,-18.67820326201491,-17.70836101942142
-27.252296405581596,-28.99973135793245,-46.17018443417373,-38.24859318107319,-33.83487004326093,-30.222998795273774,,,-48.381059090638615,-53.29779157891957,-49.14261877030398,-40.2183157673161,-34.10482057031257,-24.296011158915505,-27.551925416204952,-13.319331262701514,-4.1038737412672575,7.868930060243204,-10.85661436913161,2.712904147597435,9.174360158554789,34.1811733399712,24.36359617108825,33.61941885272594,35.81145639216274,37.358689575354134,28.488104984257333,19.8792263822025,9.151631347030756,2.4793817138606196,-12.770159067419668,-4.842571190493412,-11.525676078110056,-4.800179111372582,-2.92920415586549
-18.372820008192512,-20.014161458832046,-36.78060198437836,-28.517996924295733,-23.992421722058914,-20.10699320262339,,,-37.61702387703588,-42.462483878155716,-38.189539846363786,-29.181931345200695,-22.799501798522037,-12.831462046497746,-15.649921648583316,-1.244504364352853,8.771861489447666,21.669867061021762,3.6525985849606655,17.606956453846742,24.769786775553545,50.2577730047883,41.239462074195664,50.985060093863225,54.11139212417741,56.120084412821136,48.18560308131368,39.972540869999285,30.30115018762137,24.50271296037004,11.67772893111308,21.76413774488744,16.341243436859294,25.953014344678504,29.974468078740333
-10.67993290801152,-12.228240126168695,-28.625726319852802,-20.02992418814711,-15.391953175719511,-11.220651453994028,,,-28.04725299970182,-32.81526277625204,-28.408974296202242,-19.313389342846897,-12.654518150260182,-2.527633618049838,-4.92070357637412,9.645094784548073,20.394941740536254,34.0951215295471,16.65409912719718,30.901853163309433,38.58364512587081,64.37495639550063,55.80033652000231,65.76088025132138,69.2154810126684,71.36120413761317,63.64824490994134,55.53788876010831,46.176358344342816,40.63613386674338,28.598110936176848,39.443721581779485,34.422908431240664,44.91307200401603,49.49470207510302
-5.45755681226638,-6.972111091611717,-23.283974518881337,-14.674555778860737,-10.038670357852,-5.898362772126232,,,-22.768822984790585,-27.544045827863926,-23.16260680475325,-14.065617363513864,-7.375189698534687,2.787314519949453,0.5333617440035823,15.17762997087892,26.338271473437647,40.6505473109868,23.769546874979152,38.35974171093461,46.69043745593593,73.00494932031764,65.35904801864936,75.94092230118386,80.60946763117605,83.34526675297931,76.80721211203914,69.15503773339634,60.91578617220139,56.23693978300314,46.310847222762504,58.805927763323716,54.68913621594122,67.0870098900271,72.95562693655545
1.4892096100726113,0.04664758652314564,-16.034919084900174,-7.29204840465933,-2.618668350034326,1.5857646537417902,,,-15.081578024725214,-19.835748473085836,-15.4344024873655,-6.299886094225061,0.5482269839399707,10.827638227384615,8.95751168102773,23.787215626565704,35.90478292211511,51.56881501224226,35.87985654171503,51.17240160141611,60.824856483626235,88.11081485350864,82.07772960581157,93.62495214161711,99.98199311754644,103.46126394190624,98.23665588021645,91.07801669753673,84.03046114149213,80.20740707319108,72.27100444290245,86.21324700313312,82.7624927724656,96.35473185759149,102.79691276864301
11.123771425229139,9.825043520924156,-5.734217247401667,3.4167256827177215,8.223931681704512,12.744003637651328,,,-3.0373527111639245,-7.686138257883904,-3.1191115759154586,6.156633279431066,13.511726460022095,24.125242453829504,23.277129267530466,38.55668271407553,52.96860535365247,71.64704431703974,58.372791819586055,74.94454319462511,86.81360791444571,115.34565455585803,110.86410183173506,122.94089348027967,129.63866248292229,133.07227899041484,127.41385043386096,120.08051441960487,112.64399738797154,108.47019370457006,99.69371419899804,112.9833723504501,109.0656312034305,121.5833496605203,127.18192916760324
23.610649929490002,22.549046301794966,7.924763551408208,17.928093888536267,23.034009407791803,28.33470552134505,,,14.7473691149367,10.375832792950526,15.427891716218436,25.047914954639328,33.55906018378728,44.88337986285387,46.0690662362857,62.1511707050542,80.29641018506841,102.6122033540876,91.15812083350633,108.25038594047531,120.48439356226373,148.5148942260973,142.55689404709375,153.3639751302386,157.529142341307,159.79727001507422,151.95457206813447,143.8727688683038,134.82411513100774,129.5472464429482,118.52415457759686,130.39037154272725,125.74438437424081,136.8728173427949,141.6064575797154
38.962504867961286,38.20722519192073,24.851820522968794,36.114324874536976,41.67303119388873,48.21337335534252,,,37.94182785656286,33.984101055495636,39.7955586546476,49.88384509676155,59.81221303134271,71.89383766204462,74.8443838478046,91.4172196604498,110.8657498305498,132.4779320304069,119.39376276372703,135.3694804651177,145.55115925401458,172.0772156812057,163.83970765854156,173.3674538028625,175.44026798483014,176.8388953828858,167.48054931517376,158.87272918628736,148.6686992777302,142.61359793939576,130.00149573180352,140.86937358849303,135.74020185527885,145.97184774325845,150.17268416275652
56.181281708504336,55.687677558320736,43.43439037068254,55.815326675910164,61.76544892871341,69.37160838441999,,,61.35000873146568,57.6245724912694,63.87156976213851,74.15006421847244,84.4429844755522,96.57277394518498,99.17248449160479,115.4081172860106,132.75952264331022,151.50393040763709,136.40527244806393,151.40991097675456,160.06395157478264,-174.28949663230676,176.26834137280966,-174.8126586255174,-173.71167192937034,-172.72370132743407,177.1915471976924,168.31415816887616,157.4835910096082,150.99157520853973,137.44022324355598,147.69196500576615,142.26690057071295,151.94622232608015,155.82128001530947
67.77381022970702,67.3618409096113,55.45722703718449,68.19092358526825,74.2523496625199,82.1450515379461,,,74.32695801583257,70.58939708698281,76.82325355206959,87.03852983269903,97.01513090397478,108.89639596713458,110.69428137014899,126.58392748243828,142.39903999867732,159.66794282084155,143.6955652594034,158.31111248137088,166.36733000407943,-168.3007359769006,-178.16152786825333,-169.44272576685134,-168.6614319852512,-167.81324821687832,-178.15195438298852,172.86915032343614,161.78820738896874,155.11442063628533,141.15049912586443,151.11871676814687,145.557011294853,154.97834525311288,158.7008989468667
77.8734323060288,77.91712082638404,67.8109501616879,82.21563427178594,88.84804214461003,98.23249623612529,,,93.53509717294486,90.1058722381607,96.88783730350842,107.3732091883594,117.9712403432242,130.06479803428803,132.0534262899087,147.86858143685978,163.0218379186027,179.18287807699687,162.34785882209937,176.50752247903114,-176.1825627426701,-151.36581440274733,-162.01143081124573,-153.755298492709,-153.77624886862813,-153.27703489796545,-164.2504126773633,-173.44779455749617,175.00489851707212,168.02186710097612,153.46397176070857,163.09031166210949,157.3595099574319,166.47000038691544,170.0002988014462
87.54174481061877,88.14411817721783,80.18886304781518,96.49978232493076,103.7465883150125,114.65131237718599,,,112.25614046610205,108.98196160383654,116.0333411674867,126.58116061862314,137.1273968110329,149.05970724115488,150.37377995089386,165.85740148888,179.5457914920231,-165.74621201746882,176.50887037885397,-169.76551944618387,-163.13943456766208,-138.74958157863085,-150.02253497042352,-142.120752642811,-142.75186605384346,-142.5203323753949,-153.98300518516675,-163.35349141088074,-175.2794161237524,177.48319171257313,162.42521957060094,171.75725418735095,165.88305491172736,174.73098067803917,178.1018038150911
110.33278037534258,111.4896213157692,105.28876929256504,122.65240161545721,130.08749523160336,141.19920936043664,,,137.064274880342,133.50076780155794,140.06545504301576,150.22685676274705,159.52005285523242,170.7438672633147,170.3253645392901,-174.78014286634286,-163.29011562871761,-150.31736137913737,-169.02090232717387,-155.71972393300027,-149.75579590904528,-125.73226332860071,-137.52679196615333,-129.9021262563821,-131.01570428493676,-131.00562707211714,-142.88700978815487,-152.418608910035,-164.72349376075104,-172.2287191530007,172.14463209020204,-178.88446271074753,175.06654607719145,-176.40955243797626,-173.23284079905844
142.80746175365346,143.40301283155745,134.92414392533874,150.1859714445402,156.86975830058918,166.08069637481668,,,157.596490822573,153.604088058664,159.45683198838222,169.18044624727727,177.24624072055434,-172.1391962908629,-173.91168339751792,-159.43312922071246,-149.45665099938813,-137.6217719809855,-156.93832549133242,-143.90155068697914,-138.35836507115937,-114.54774666381164,-126.6421066555348,-119.16858204857965,-120.5542246826769,-120.67824578757936,-132.82685106341518,-142.471389039411,-155.06145631995616,-162.7784390053974,-178.8837878212262,-170.2336480039355,-176.43836287138072,-168.20640635915885,-165.20439884926867
176.72533694683278,175.79765227012211,162.50870635574572,174.48837242929974,-179.78583074557272,-172.75260555611794,,,174.95046751430232,170.61820808717434,175.90136502020283,-174.69715245694957,-167.49850886201529,-157.298674184589,-159.9751851087936,-145.7650505614934,-136.7871982298426,-125.71532408452225,-145.4488349336467,-132.59105765676614,-127.3413474094049,-103.66966373565663,-115.959384729985,-108.57975340110173,-110.14182141156928,-110.35982898763132,-122.70628024966953,-132.44142097135475,-145.27317502239745,-153.17660727685012,-169.72206081363385,-161.3769739413676,-167.73067115859007,-159.78033512777577,-156.94745024144228
