Time (Seconds),,X1,Y1,Z1,X2,Y2,Z2
32.04,29,4.128636,1.676211,6.411119,4.048013,1.705991,6.419883
32.05,29.01,4.066772,1.702457,6.383808,4.062836,1.706924,6.396093
32.06,29.02,4.075902,1.702884,6.358562,4.073048,1.707719,6.370703
32.07,29.03,4.087143,1.701274,6.33273,4.083052,1.706371,6.344972
32.08,29.04,4.097736,1.698805,6.306749,4.093353,1.703776,6.319097
32.09,29.05,4.107323,1.695467,6.28055,4.103794,1.699851,6.293004
32.1,29.06,4.116341,1.692527,6.254257,4.113695,1.696339,6.266807
32.11,29.07,4.125224,1.691256,6.227994,4.122377,1.694986,6.240616
32.12,29.08,4.134186,1.691242,6.201788,4.130224,1.695294,6.214466
32.13,29.09,4.141424,1.692274,6.17561,4.13942,1.696067,6.188763
32.14,29.1,4.150105,1.691583,6.14887,4.148208,1.695676,6.161971
32.15,29.11,4.158388,1.68803,6.120618,4.156353,1.69357,6.132999
32.16,29.12,4.166375,1.684285,6.092566,4.16408,1.690331,6.104672
32.17,29.13,4.173835,1.680583,6.064795,4.171182,1.685918,6.077215
32.18,29.14,4.180866,1.677566,6.037127,4.177976,1.681971,6.049998
32.19,29.15,4.187562,1.675874,6.009387,4.184774,1.680126,6.022395
32.2,29.16,4.194125,1.675056,5.98155,4.191682,1.67988,5.994388
32.21,29.17,4.200038,1.67498,5.953469,4.198545,1.68001,5.966155
32.22,29.18,4.205953,1.673604,5.924482,4.20227,1.679639,5.937052
32.23,29.19,4.211461,1.67038,5.895233,4.210641,1.676613,5.907582
32.24,29.2,4.217499,1.665632,5.866737,4.216351,1.672184,5.877966
32.25,29.21,4.222061,1.661091,5.837191,4.220301,1.66762,5.848175
32.26,29.22,4.225344,1.657273,5.806688,4.222933,1.663407,5.81843
32.27,29.23,4.229857,1.65464,5.776947,4.227557,1.660476,5.789332
32.28,29.24,4.235822,1.652755,5.748158,4.234277,1.658496,5.760756
32.29,29.25,4.239297,1.651296,5.718676,4.240149,1.656936,5.731139
32.3,29.26,4.24277,1.648807,5.688816,4.241063,1.654864,5.701197
32.31,29.27,4.245621,1.645001,5.658578,4.241427,1.65174,5.671736
32.32,29.28,4.25048,1.64027,5.628039,4.250573,1.646064,5.640722
32.33,29.29,4.251318,1.634292,5.596939,4.250281,1.64055,5.609255
32.34,29.3,4.255139,1.628584,5.566407,4.254697,1.635043,5.578706
32.35,29.31,4.256737,1.624098,5.535952,4.256014,1.630342,5.54844
32.36,29.32,4.257796,1.621552,5.505386,4.257332,1.627215,5.518043
32.37,29.33,4.257177,1.619592,5.474555,4.257399,1.625121,5.487296
32.38,29.34,4.256437,1.61585,5.443024,4.256084,1.622513,5.455418
32.39,29.35,4.25508,1.610143,5.411037,4.25539,1.617369,5.423003
32.4,29.36,4.253456,1.603879,5.379199,4.255377,1.610736,5.391212
32.41,29.37,4.252018,1.59733,5.347465,4.254169,1.604204,5.359836
32.42,29.38,4.25042,1.591236,5.315413,4.252264,1.597634,5.32758
32.43,29.39,4.248828,1.586293,5.283649,4.25082,1.592238,5.296168
32.44,29.4,4.244718,1.583458,5.252085,4.246622,1.588836,5.264839
32.45,29.41,4.239648,1.580976,5.220327,4.242359,1.586166,5.233116
32.46,29.42,4.233366,1.576695,5.187675,4.235933,1.582417,5.200094
32.47,29.43,4.227439,1.570105,5.154359,4.229382,1.577032,5.166139
32.48,29.44,4.22189,1.562314,5.121024,4.225232,1.569274,5.132646
32.49,29.45,4.215672,1.554449,5.088101,4.21947,1.560821,5.10024
32.5,29.46,4.209994,1.547472,5.054992,4.213095,1.554,5.067071
32.51,29.47,4.203016,1.54156,5.022201,4.206225,1.547388,5.034591
32.52,29.48,4.19517,1.536754,4.989459,4.198452,1.542159,5.002142
32.53,29.49,4.186206,1.53318,4.956824,4.190091,1.538113,4.969435
32.54,29.5,4.176601,1.529269,4.923175,4.18073,1.534128,4.935738
32.55,29.51,4.167063,1.523355,4.888589,4.171052,1.529166,4.900663
32.56,29.52,4.156749,1.515674,4.854196,4.161479,1.521811,4.865934
32.57,29.53,4.146519,1.507532,4.820182,4.151478,1.512865,4.832321
32.58,29.54,4.136179,1.497944,4.785882,4.141208,1.504365,4.797712
32.59,29.55,4.125591,1.489622,4.75161,4.130341,1.495841,4.763356
32.6,29.56,4.115732,1.482791,4.71693,4.119159,1.488506,4.729457
32.61,29.57,4.104532,1.476965,4.682647,4.10642,1.48276,4.695405
32.62,29.58,4.091928,1.472676,4.648539,4.095606,1.477971,4.66099
32.63,29.59,4.078275,1.467851,4.613512,4.081647,1.473157,4.626
32.64,29.6,4.065806,1.461905,4.577215,4.069808,1.468397,4.589209
32.65,29.61,4.051816,1.453536,4.541401,4.056466,1.460613,4.553074
32.66,29.62,4.03833,1.445038,4.505311,4.042756,1.452024,4.51741
32.67,29.63,4.027297,1.432913,4.471073,4.031252,1.440007,4.482324
32.68,29.64,4.011156,1.42501,4.434604,4.013565,1.432479,4.446616
32.69,29.65,3.997375,1.417788,4.398851,3.999815,1.424461,4.411324
32.7,29.66,3.986494,1.410921,4.363704,3.986197,1.418049,4.375418
32.71,29.67,3.972356,1.40638,4.327945,3.974843,1.412543,4.340123
32.72,29.68,3.954217,1.403131,4.291008,3.964104,1.406689,4.304429
32.73,29.69,3.938268,1.398593,4.253226,3.947303,1.40217,4.266285
32.74,29.7,3.923086,1.390601,4.214633,3.92822,1.396899,4.226274
32.75,29.71,3.907528,1.382093,4.177041,3.91248,1.388979,4.187822
32.76,29.72,3.892152,1.372165,4.140008,3.897949,1.380884,4.150306
32.77,29.73,3.876587,1.363836,4.102039,3.882153,1.371414,4.113321
32.78,29.74,3.861349,1.356649,4.064417,3.865442,1.363048,4.076322
32.79,29.75,3.846412,1.350963,4.02703,3.851058,1.356741,4.039176
32.8,29.76,3.830847,1.34822,3.989399,3.835596,1.352428,4.001923
32.81,29.77,3.814859,1.345201,3.950831,3.819357,1.349629,3.963376
32.82,29.78,3.797945,1.341595,3.911573,3.803171,1.346672,3.923001
32.83,29.79,3.781743,1.336631,3.871359,3.786633,1.342515,3.882809
32.84,29.8,3.762078,1.33016,3.832386,3.76982,1.33622,3.843356
32.85,29.81,3.747392,1.321908,3.792538,3.756254,1.326645,3.804193
32.86,29.82,3.730547,1.314908,3.753453,3.738093,1.31998,3.765144
32.87,29.83,3.714898,1.310111,3.71412,3.719831,1.315335,3.726032
32.88,29.84,3.699176,1.306925,3.674759,3.703886,1.311947,3.686571
32.89,29.85,3.683131,1.306075,3.635619,3.687656,1.309964,3.647689
32.9,29.86,3.666953,1.305357,3.595325,3.671427,1.309013,3.60757
32.91,29.87,3.650429,1.30306,3.553032,3.65463,1.308348,3.565479
32.92,29.88,3.633866,1.299497,3.51137,3.638606,1.304943,3.52311
32.93,29.89,3.617424,1.294406,3.470238,3.621773,1.300953,3.482542
32.94,29.9,3.600363,1.288927,3.42889,3.604922,1.295791,3.44178
32.95,29.91,3.583809,1.283907,3.388011,3.588333,1.290373,3.40061
32.96,29.92,3.567177,1.28062,3.347412,3.571661,1.285778,3.360392
32.97,29.93,3.55081,1.278592,3.307719,3.556048,1.282226,3.320226
32.98,29.94,3.534332,1.277331,3.266508,3.53929,1.281587,3.279231
32.99,29.95,3.518188,1.277696,3.224928,3.52303,1.281923,3.237917
33,29.96,3.502512,1.278603,3.182685,3.507634,1.282791,3.195091
33.01,29.97,3.487153,1.278441,3.140032,3.492289,1.28392,3.151875
33.02,29.98,3.47073,1.276511,3.097365,3.475337,1.28226,3.109308
33.03,29.99,3.453635,1.273598,3.055018,3.457976,1.280627,3.070086
33.04,30,3.43666,1.270847,3.012872,3.441289,1.278929,3.034014
33.05,30.01,3.420749,1.269056,2.971333,3.439788,1.274517,3.006174
33.06,30.02,3.404093,1.267782,2.929514,3.423703,1.27351,2.963834
33.07,30.03,3.388048,1.268758,2.888169,3.393817,1.273184,2.900159
33.08,30.04,3.371533,1.272096,2.84681,3.390863,1.27792,2.880757
33.09,30.05,3.355327,1.276678,2.804858,3.360605,1.279815,2.817854
33.1,30.06,3.338783,1.280968,2.762224,3.344709,1.282883,2.775166
33.11,30.07,3.322134,1.28222,2.723063,3.321276,1.282513,2.719232
33.12,30.08,3.308664,1.285898,2.689101,3.299664,1.285829,2.668005
33.13,30.09,3.285425,1.282755,2.6343,3.290739,1.287089,2.646984
33.14,30.1,3.268437,1.284142,2.592174,3.272179,1.287829,2.604956
33.15,30.11,3.252289,1.287423,2.550358,3.255807,1.290714,2.56355
33.16,30.12,3.23619,1.292912,2.50904,3.240176,1.295375,2.522337
33.17,30.13,3.22052,1.299518,2.46722,3.224181,1.301551,2.481032
33.18,30.14,3.204641,1.306507,2.425098,3.208488,1.308941,2.438796
33.19,30.15,3.189101,1.31257,2.382544,3.193449,1.315754,2.395483
33.2,30.16,3.174475,1.318471,2.340549,3.17708,1.320164,2.35288
33.21,30.17,3.161011,1.322784,2.299932,3.15903,1.323356,2.310331
33.22,30.18,3.137186,1.323015,2.25512,3.142406,1.326958,2.268302
33.23,30.19,3.121908,1.326643,2.213186,3.126228,1.33049,2.225882
33.24,30.2,3.107718,1.33196,2.171098,3.11119,1.335399,2.184385
33.25,30.21,3.093344,1.338552,2.130884,3.097513,1.341317,2.14378
33.26,30.22,3.078794,1.34629,2.090127,3.082598,1.348596,2.103301
33.27,30.23,3.063602,1.354977,2.048745,3.067566,1.357215,2.061849
33.28,30.24,3.048707,1.363088,2.006534,3.053108,1.365839,2.019461
33.29,30.25,3.034455,1.369439,1.963838,3.038656,1.372919,1.97665
33.3,30.26,3.02078,1.373763,1.920572,3.024065,1.377499,1.933673
33.31,30.27,3.006073,1.377267,1.877347,3.00903,1.380721,1.890895
33.32,30.28,2.991515,1.380155,1.835278,2.994354,1.383789,1.848589
33.33,30.29,2.976298,1.383893,1.793906,2.979591,1.387917,1.806998
33.34,30.3,2.96102,1.389601,1.753485,2.964479,1.393094,1.766516
33.35,30.31,2.94625,1.396698,1.713477,2.949659,1.399685,1.726603
33.36,30.32,2.931123,1.405607,1.674218,2.934794,1.407989,1.687398
33.37,30.33,2.915562,1.415672,1.634839,2.919534,1.417287,1.647708
33.38,30.34,2.900276,1.424643,1.594393,2.903759,1.426011,1.607494
33.39,30.35,2.883821,1.431759,1.553642,2.887617,1.43304,1.566428
33.4,30.36,2.868503,1.437499,1.514918,2.870948,1.438774,1.525371
33.41,30.37,2.849155,1.440434,1.472357,2.85409,1.443756,1.484604
33.42,30.38,2.832666,1.445877,1.432354,2.837683,1.449173,1.444812
33.43,30.39,2.816181,1.452756,1.394006,2.820948,1.455551,1.406156
33.44,30.4,2.798615,1.461052,1.356294,2.804064,1.46311,1.368765
33.45,30.41,2.780947,1.470049,1.319644,2.786375,1.471816,1.332073
33.46,30.42,2.762099,1.48056,1.28304,2.768265,1.481837,1.295523
33.47,30.43,2.743319,1.49062,1.245778,2.750859,1.492298,1.25781
33.48,30.44,2.724308,1.498544,1.207911,2.731189,1.501062,1.219509
33.49,30.45,2.704639,1.505214,1.16903,2.710886,1.50813,1.181632
33.5,30.46,2.685418,1.510838,1.131949,2.691391,1.51418,1.144055
33.51,30.47,2.665911,1.517238,1.095164,2.672613,1.520441,1.107323
33.52,30.48,2.646576,1.524724,1.059252,2.653438,1.527183,1.070985
33.53,30.49,2.626863,1.533158,1.024894,2.633996,1.534781,1.036712
33.54,30.5,2.606357,1.543024,0.991673,2.614944,1.544072,1.003053
33.55,30.51,2.58551,1.553546,0.959154,2.594718,1.554186,0.969843
33.56,30.52,2.563721,1.563556,0.924533,2.572259,1.565331,0.935836
33.57,30.53,2.541848,1.571792,0.889743,2.549777,1.574711,0.901159
33.58,30.54,2.519808,1.578825,0.855555,2.527303,1.582152,0.866629
33.59,30.55,2.497249,1.586173,0.821923,2.506214,1.58861,0.832892
33.6,30.56,2.475537,1.594018,0.78943,2.48401,1.596058,0.800449
