,X,Y,Z
1,-0.185835,1.270194,3.132522
2,-0.125464,1.257329,2.081028
3,-0.066474,1.246005,1.034094
4,-0.010138,1.23256,-0.016713
5,0.996411,1.25641,0.044651
6,2.022875,1.281094,0.102169
7,2.443979,1.289071,0.122575
8,3.456042,1.303956,0.178862
9,4.451639,1.317692,0.230126
10,4.391271,1.337967,1.275311
11,4.331887,1.352358,2.323789
12,4.273555,1.354253,3.401682
13,4.213007,1.362711,4.450597
14,4.154923,1.354332,5.486683
15,4.092095,1.385999,6.548613
16,4.047512,1.426895,7.302934
17,2.911759,1.374383,7.351753
18,2.104032,1.36505,7.24213
19,1.255488,1.365572,7.255248
20,0.421983,1.32954,7.205982
21,-0.413387,1.386267,7.002964
22,-0.371174,1.393579,6.284424
23,-0.31029,1.315029,5.215346
24,-0.247767,1.305902,4.168753
25,1.988151,2.403439,3.585439
