Call_Time
43.01
43.07
43.13
43.17
43.22
43.3
43.36
43.43
43.47
43.51
43.54
43.59
43.67
43.76
43.87
43.95
44.01
44.05
44.1
44.15
44.21
44.26
44.32
44.39
44.49
44.55
44.59
44.65
44.71
44.8
44.88
44.95
45.04
45.16
45.34
45.44
45.53
45.62
45.71
45.79
45.88
46.03
46.08
46.15
46.21
46.28
46.34
46.41
46.46
46.53
46.61
46.68
46.75
46.82
46.89
46.99
47.09
47.18
47.29
47.42
47.54
47.62
47.71
47.81
47.91
48.0
48.07
48.14
48.2
48.26
48.31
48.37
48.43
48.51
48.62
48.71
48.79
48.88
48.98
49.06
49.15
49.24
49.32
49.42
49.5
49.57
49.68
49.77
49.88
49.98
50.08
50.17
50.33
50.41
50.47
50.54
50.6
50.66
50.73
50.79
50.87
50.95
51.02
51.1
51.17
51.23
51.29
51.39
51.5
51.6
51.7
51.78
51.86
51.95
52.03
52.1
52.18
52.27
52.38
52.47
52.55
52.63
52.73
