Frame,,,Time,X1,Y1,Z1,X2,Y2,Z2
306,4.85,4.846,3.06,2.496766,1.280055,4.765163,2.490191,1.286472,4.775504
307,4.86,4.856,3.07,2.509732,1.277922,4.743493,2.504124,1.284008,4.754272
308,4.87,4.866,3.08,2.521024,1.278304,4.721958,2.516417,1.282777,4.733402
309,4.88,4.876,3.09,2.530233,1.279251,4.700306,2.526518,1.282543,4.712438
310,4.89,4.886,3.1,2.538748,1.280707,4.679192,2.535848,1.283735,4.692175
311,4.9,4.896,3.11,2.547637,1.283348,4.65775,2.545046,1.285435,4.670946
312,4.91,4.906,3.12,2.557967,1.285939,4.634177,2.555295,1.287642,4.647017
313,4.92,4.916,3.13,2.571798,1.285225,4.60762,2.567055,1.288287,4.619989
314,4.93,4.926,3.14,2.58493,1.281653,4.581294,2.579299,1.286637,4.592822
315,4.94,4.936,3.15,2.598722,1.276064,4.555547,2.593384,1.281734,4.566687
316,4.95,4.946,3.16,2.612456,1.270098,4.529552,2.607793,1.276696,4.540713
317,4.96,4.956,3.17,2.624643,1.265681,4.503928,2.620634,1.272739,4.514809
318,4.97,4.966,3.18,2.634414,1.264169,4.478413,2.631319,1.270469,4.489973
319,4.98,4.976,3.19,2.642755,1.264585,4.453222,2.641218,1.269242,4.466152
320,4.99,4.986,3.2,2.650846,1.265518,4.428618,2.6496,1.26895,4.441974
321,5,4.996,3.21,2.657937,1.267704,4.403852,2.657489,1.269668,4.41707
322,5.01,5.006,3.22,2.66432,1.270567,4.377959,2.664164,1.271934,4.391034
323,5.02,5.016,3.23,2.671362,1.272167,4.349164,2.671798,1.272507,4.36261
324,5.03,5.026,3.24,2.680939,1.270416,4.318425,2.68012,1.273041,4.331447
325,5.04,5.036,3.25,2.691219,1.265913,4.287914,2.68937,1.270192,4.300941
326,5.05,5.046,3.26,2.70184,1.260405,4.257734,2.699379,1.265873,4.270338
327,5.06,5.056,3.27,2.711898,1.254375,4.22804,2.709726,1.260779,4.239938
328,5.07,5.066,3.28,2.720412,1.249515,4.198643,2.718803,1.256143,4.210616
329,5.08,5.076,3.29,2.726601,1.247877,4.169704,2.726232,1.253527,4.182208
330,5.09,5.086,3.3,2.731498,1.248578,4.141398,2.732638,1.253198,4.154302
331,5.1,5.096,3.31,2.735777,1.251019,4.113567,2.738125,1.254345,4.126378
332,5.11,5.106,3.32,2.739004,1.2553,4.08536,2.742068,1.257693,4.098424
333,5.12,5.116,3.33,2.741694,1.259124,4.055785,2.744994,1.26059,4.068946
334,5.13,5.126,3.34,2.746571,1.259027,4.023475,2.749066,1.261916,4.036579
335,5.14,5.136,3.35,2.753371,1.25471,3.99037,2.753948,1.259213,4.003599
336,5.15,5.146,3.36,2.76108,1.248768,3.95772,2.76089,1.254253,3.970062
337,5.16,5.156,3.37,2.767224,1.243282,3.925337,2.766303,1.250173,3.937161
