X,Z
2.889358,4.745872
1.424704,6.309875
1.871068,0.500542
0.724726,5.604225
2.935067,1.349402
1.724242,4.877322
2.165557,4.043074
1.567021,2.83993
0.882059,1.875032
0.562753,3.420497
2.099941,2.486632
3.040692,2.332057
3.84456,1.010417
0.662766,0.864157
3.60058,3.05698
